Number of Images,FID Score
500,135.03123474121094
1000,98.90536499023438
1500,82.58611297607422
2000,72.30146789550781
2500,66.86807250976562
3000,62.553733825683594
3500,59.49295425415039
4000,57.714351654052734
4500,55.91655349731445
5000,54.77083969116211
5500,53.708091735839844
6000,52.93357849121094
6500,52.21375274658203
7000,51.3265380859375
7500,50.59934616088867
8000,49.96464157104492
8500,49.56455612182617
9000,48.91187286376953
9500,48.63383865356445
10000,48.340728759765625
