Number of Images,FID Score
500,134.073974609375
1000,95.49578094482422
1500,77.77090454101562
2000,68.64904022216797
2500,62.675880432128906
3000,58.938175201416016
3500,55.616477966308594
4000,53.46078872680664
4500,51.71345138549805
5000,50.318939208984375
5500,49.13743209838867
6000,47.869937896728516
6500,46.89726638793945
7000,46.2100715637207
7500,45.803165435791016
8000,45.419525146484375
8500,45.017677307128906
9000,44.35432815551758
9500,44.055137634277344
10000,43.78538513183594
