Number of Images,FID Score
500,117.61909484863281
1000,83.71973419189453
1500,68.79484558105469
2000,60.25394058227539
2500,55.4288330078125
3000,51.18124771118164
3500,48.347129821777344
4000,46.401702880859375
4500,44.71480941772461
5000,43.815834045410156
5500,42.55714797973633
6000,41.610416412353516
6500,40.72834014892578
7000,40.18227767944336
7500,39.81003952026367
8000,39.21268081665039
8500,38.725830078125
9000,38.31331253051758
9500,38.04057693481445
10000,37.74000930786133
